codigo_ibge,municipio,estado,latitude,longitude,populacao,pobres,idhm,rendapercapita,municipio_codigo
1100106,GUAJARÁ-MIRIM,RO,-10.7889,-65.3296,38203,23.47,0.657,494.69,19
1100205,PORTO VELHO,RO,-8.76077,-63.8999,419354,7.95,0.736,929.19,35
1100122,JI-PARANÁ,RO,-10.8777,-61.9322,115322,8.56,0.714,743.35,51
1100023,ARIQUEMES,RO,-9.90571,-63.0325,88730,11.54,0.702,689.95,78
1100049,CACOAL,RO,-11.4343,-61.4562,76876,13.08,0.718,738.06,94
1100189,PIMENTA BUENO,RO,-11.672,-61.198,33386,9.33,0.71,734.76,116
1100304,VILHENA,RO,-12.7502,-60.1488,75450,6.37,0.731,768.98,132
1100114,JARU,RO,-10.4318,-62.4788,51304,13.78,0.689,575.14,159
1100155,OURO PRETO DO OESTE,RO,-10.7167,-62.2565,37159,11.73,0.682,576.51,175
1100254,PRESIDENTE MÉDICI,RO,-11.169,-61.8986,21459,19.39,0.664,520.2,191
1100080,COSTA MARQUES,RO,-12.4367,-64.228,13246,30.48,0.611,370.77,213
1100064,COLORADO DO OESTE,RO,-13.1174,-60.5454,18204,15.76,0.685,535.41,230
1100056,CEREJEIRAS,RO,-13.187,-60.8168,16815,13.7,0.692,577.18,272
1100288,ROLIM DE MOURA,RO,-11.7271,-61.7714,49999,10.77,0.7,657.65,299
1100320,SÃO MIGUEL DO GUAPORÉ,RO,-11.6953,-62.7192,19630,33.34,0.646,440.6,418
1100338,NOVA MAMORÉ,RO,-10.4077,-65.3346,21311,28.2,0.587,377.34,434
1100031,CABIXI,RO,-13.4945,-60.552,6156,21.2,0.65,457.17,450
1100809,CANDEIAS DO JAMARI,RO,-8.7907,-63.7005,18992,15.8,0.649,463.63,477
1101104,ITAPUÃ DO OESTE,RO,-9.19687,-63.1809,8309,17.61,0.614,411.36,493
1100502,NOVO HORIZONTE DO OESTE,RO,-11.6961,-61.9951,9668,32.25,0.634,346.38,515
1100908,CASTANHEIRAS,RO,-11.4253,-61.9482,3405,21.08,0.658,455.53,531
