,PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,
PMDB,4759,1162,1247,1327,1165,1039,1176,1312,961,1292,1173,626,572,553,896,903,665,817,13,528,143,367,487,596,338,439,PMDB
PT,1162,3605,578,969,871,863,907,631,717,1070,837,363,460,680,634,583,508,557,19,447,133,260,384,504,234,341,PT
PSDB,1247,578,3911,1304,1157,1171,1171,1317,838,1038,1054,631,529,447,984,987,599,773,5,469,159,356,443,618,296,399,PSDB
PP,1327,969,1304,4008,1098,1168,1137,1106,897,1127,1128,569,556,539,890,899,591,752,12,535,138,324,445,597,291,379,PP
PR,1165,871,1157,1098,3387,993,1013,1068,885,991,915,560,547,482,847,777,548,678,12,493,142,349,460,596,297,438,PR
PSD,1039,863,1171,1168,993,3361,1053,1036,822,999,950,537,534,544,873,787,599,684,11,514,141,340,472,591,287,413,PSD
PSB,1176,907,1171,1137,1013,1053,3516,1010,846,1026,975,583,508,563,811,872,603,701,15,532,171,374,478,590,314,437,PSB
DEM,1312,631,1317,1106,1068,1036,1010,3409,792,1012,1009,610,495,420,872,861,539,730,11,487,148,352,471,551,280,413,DEM
PRB,961,717,838,897,885,822,846,792,2844,828,777,508,523,469,743,737,561,596,11,474,147,318,441,525,277,387,PRB
PDT,1292,1070,1038,1127,991,999,1026,1012,828,3634,1021,560,524,587,799,825,590,676,11,490,163,346,462,587,315,430,PDT
PTB,1173,837,1054,1128,915,950,975,1009,777,1021,3304,531,504,441,786,774,541,657,6,447,129,331,421,537,262,388,PTB
SD,626,363,631,569,560,537,583,610,508,560,531,1777,332,349,495,490,384,461,7,358,117,287,338,353,243,294,SD
PTN,572,460,529,556,547,534,508,495,523,524,504,332,1678,328,462,411,412,422,12,332,107,252,313,405,193,266,PTN
PCdoB,553,680,447,539,482,544,563,420,469,587,441,349,328,1741,409,390,370,372,16,336,120,262,302,342,192,282,PCdoB
PSC,896,634,984,890,847,873,811,872,743,799,786,495,462,409,2607,670,519,616,12,453,139,308,435,522,244,385,PSC
PPS,903,583,987,899,777,787,872,861,737,825,774,490,411,390,670,2636,500,598,9,395,145,298,397,454,246,371,PPS
PHS,665,508,599,591,548,599,603,539,561,590,541,384,412,370,519,500,1864,459,8,347,118,297,348,434,254,288,PHS
PV,817,557,773,752,678,684,701,730,596,676,657,461,422,372,616,598,459,2196,11,399,122,285,383,430,248,324,PV
PSOL,13,19,5,12,12,11,15,11,11,11,6,7,12,16,12,9,8,11,486,13,4,2,11,9,6,3,PSOL
PROS,528,447,469,535,493,514,532,487,474,490,447,358,332,336,453,395,347,399,13,1622,110,228,291,346,209,283,PROS
REDE,143,133,159,138,142,141,171,148,147,163,129,117,107,120,139,145,118,122,4,110,632,84,103,102,76,103,REDE
PTdoB,367,260,356,324,349,340,374,352,318,346,331,287,252,262,308,298,297,285,2,228,84,1107,245,279,159,222,PTdoB
PEN,487,384,443,445,460,472,478,471,441,462,421,338,313,302,435,397,348,383,11,291,103,245,1470,320,201,291,PEN
PSL,596,504,618,597,596,591,590,551,525,587,537,353,405,342,522,454,434,430,9,346,102,279,320,1794,204,314,PSL
PMB,338,234,296,291,297,287,314,280,277,315,262,243,193,192,244,246,254,248,6,209,76,159,201,204,928,177,PMB
PRP,439,341,399,379,438,413,437,413,387,430,388,294,266,282,385,371,288,324,3,283,103,222,291,314,177,1285,PRP
,PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,
