PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,populacao,latitude,longitude,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,candidaturas_mun
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,19,11,,1,227054.94,-10.78,-65.330002,RO,GUAJARÁ-MIRIM,PREFEITO,COLIGACAO,PRB,UMA GUAJARÁ PARA TODOS,PRB / PHS,3
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,19,11,,1,227054.94,-10.78,-65.330002,RO,GUAJARÁ-MIRIM,PREFEITO,COLIGACAO,PDT,BRAVA GENTE,PDT / PTB / PSB / PTC / PSD,3
1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2016,19,11,,1,227054.94,-10.78,-65.330002,RO,GUAJARÁ-MIRIM,PREFEITO,COLIGACAO,PMDB,TRABALHO E COMPROMISSO,PMDB / DEM / PP / PV / PSDC / PMN / PT / PSC / PSL / PC do B / PSDB / PTN,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,,1,2035029.6,-8.7600002,-63.900002,RO,PORTO VELHO,PREFEITO,COLIGACAO,PSDB,JUNTOS POR UMA PORTO VELHO MELHOR,PSDB / PSDC,9
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2016,35,11,,1,2035029.6,-8.7600002,-63.900002,RO,PORTO VELHO,PREFEITO,COLIGACAO,PTB,ABRACE PORTO VELHO,PTB / PP / PRP / PTN / PROS / PSC / PPS,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,13,0,2035029.6,-8.7600002,-63.900002,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,9
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,,1,2035029.6,-8.7600002,-63.900002,RO,PORTO VELHO,PREFEITO,COLIGACAO,PMDB,POR AMOR A PORTO VELHO,PMDB / DEM / PRB / PRTB,9
0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2016,35,11,,1,2035029.6,-8.7600002,-63.900002,RO,PORTO VELHO,PREFEITO,COLIGACAO,PSD,PORTO VELHO MAIS FORTE,PSD / PDT / PSB / PC do B / PTC / REDE / PPL / PV / PHS / SD,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,35,11,50,0,2035029.6,-8.7600002,-63.900002,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,9
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,,1,2035029.6,-8.7600002,-63.900002,RO,PORTO VELHO,PREFEITO,COLIGACAO,PR,PARA ORGULHAR PORTO VELHO,PR / PSL,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,13,0,2035029.6,-8.7600002,-63.900002,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,13,0,2035029.6,-8.7600002,-63.900002,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,9
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,51,11,,1,588707.69,-10.88,-61.939999,RO,JI-PARANÁ,PREFEITO,COLIGACAO,PRB,GOVERNO DA OPORTUNIDADE,PRB / PSDC,3
1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,2016,51,11,,1,588707.69,-10.88,-61.939999,RO,JI-PARANÁ,PREFEITO,COLIGACAO,PSB,O TRABALHO CONTINUA,PSB / PDT / PTB / PMDB / PSC / PT / PSDB / PSD / PV / PTN / PROS / PEN / PHS / PC do B / PRP,3
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2016,51,11,,1,588707.69,-10.88,-61.939999,RO,JI-PARANÁ,PREFEITO,COLIGACAO,PR,MUDAR PARA CRESCER,PR / PSL / PPS / PMN / PP / PT do B,3
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,2016,78,11,,1,455177.84,-9.9099998,-63.040001,RO,ARIQUEMES,PREFEITO,COLIGACAO,PMDB,COLIGAÇÃO JEITO NOVO DE FAZER POLITICA,PMDB / DEM / PSL / PPS / PHS / PMN / PTC / PRP / PEN / PT do B / PP / PROS / PSDC,2
0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2016,78,11,,1,455177.84,-9.9099998,-63.040001,RO,ARIQUEMES,PREFEITO,COLIGACAO,PDT,COMPROMISSO CONTINUA,PDT / PSDB / PRB / PTN / PTB / PT / PSC / PR / PRTB / PSB / PV / PSD / PC do B / SD,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,94,11,50,0,510280.31,-11.43,-61.439999,RO,CACOAL,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,6
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2016,94,11,,1,510280.31,-11.43,-61.439999,RO,CACOAL,PREFEITO,COLIGACAO,PMDB,CACOAL SOMOS TODOS NOS,PMDB / PSDC / PTN / PHS / PP / PTB / PV / SD / PSDB / PEN,6
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,94,11,,1,510280.31,-11.43,-61.439999,RO,CACOAL,PREFEITO,COLIGACAO,PDT,AÇÃO E DETERMINAÇÃO,PDT / PMN / PSB / PSL,6
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,94,11,,1,510280.31,-11.43,-61.439999,RO,CACOAL,PREFEITO,COLIGACAO,DEM,ACREDITAMOS EM CACOAL,DEM / PSD / REDE,6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,94,11,,1,510280.31,-11.43,-61.439999,RO,CACOAL,PREFEITO,COLIGACAO,PT,CACOAL MELHOR PARA TODOS,PT / PRP,6
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,94,11,,1,510280.31,-11.43,-61.439999,RO,CACOAL,PREFEITO,COLIGACAO,PPS,UNIDOS PELO NOVO COM A FORÇA DO POVO,PPS / PRB / PR,6
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,116,11,,1,211819.64,-11.67,-61.189999,RO,PIMENTA BUENO,PREFEITO,COLIGACAO,PCdoB,A MELHOR PROPOSTA,PC do B / PMN / PSDB,3
0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,116,11,,1,211819.64,-11.67,-61.189999,RO,PIMENTA BUENO,PREFEITO,COLIGACAO,PSB,PRA DEFENDER PIMENTA BUENO,PSB / PSDC / PRB / PSD / PV / PMDB,3
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,116,11,,1,211819.64,-11.67,-61.189999,RO,PIMENTA BUENO,PREFEITO,COLIGACAO,PP,UNIDOS POR PIMENTA BUENO,PP / PTB / PSC / DEM / PR,3
1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,2016,132,11,,1,285622.88,-12.74,-60.139999,RO,VILHENA,PREFEITO,COLIGACAO,PMDB,A VONTADE DO POVO,PMDB / PTB / PSD / DEM / PPS / PSDC / PHS / PSB / PC do B / PT do B / PEN / PTN / PMN,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,132,11,50,0,285622.88,-12.74,-60.139999,RO,VILHENA,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,132,11,50,0,285622.88,-12.74,-60.139999,RO,VILHENA,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,4
0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2016,132,11,,1,285622.88,-12.74,-60.139999,RO,VILHENA,PREFEITO,COLIGACAO,PRB,PRA FAZER DIFERENTE,PRB / PP / PDT / PT / PSC / PR / PTC / PV / PRP / PSDB / SD,4
0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2016,159,11,,1,323822.72,-10.43,-62.459999,RO,JARU,PREFEITO,COLIGACAO,PRB,JARU PERTENCE A TODOS,PRB / PT / DEM / PPS / PHS / PEN / PSD / PC do B / SD,2
1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2016,159,11,,1,323822.72,-10.43,-62.459999,RO,JARU,PREFEITO,COLIGACAO,PSDB,UM NOVO JEITO DE ADMINISTRAR,PSDB / PP / PSL / PMDB / PTB / PTN / PDT / PMN / PRP / PSB / PSC / PV / PSDC,2
1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2016,175,11,,1,273041.06,-10.71,-62.240002,RO,OURO PRETO DO OESTE,PREFEITO,COLIGACAO,PROS,OURO PRETO COM A FORÇA DO POVO,PROS / PMDB / PTB / PHS / PP / PR / PDT / PRP / PT / PSDB / PSC / PSD,2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,175,11,,1,273041.06,-10.71,-62.240002,RO,OURO PRETO DO OESTE,PREFEITO,COLIGACAO,PSDC,RENOVAÇÃO: SEU VOTO FAZ A DIFERENÇA,PSDC / PSB / PRB,2
1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016,191,11,,1,180894.14,-11.17,-61.900002,RO,PRESIDENTE MÉDICI,PREFEITO,COLIGACAO,PSDB,UNIÃO E RESPEITO,PSDB / PMDB / PP / PTB / PSC / DEM / PV / PSD / SD / PPS,2
0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,191,11,,1,180894.14,-11.17,-61.900002,RO,PRESIDENTE MÉDICI,PREFEITO,COLIGACAO,PT,EXPERIENCIA E TRANSPARENCIA,PT / PSDC / PRB / PDT / PMN / PR / PSB,2
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,213,11,,1,53228.125,-12.44,-64.220001,RO,COSTA MARQUES,PREFEITO,COLIGACAO,PMDB,UNIAO E PROGRESSO I,PMDB / PV / PDT / PTN / PRP,3
0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2016,213,11,,1,53228.125,-12.44,-64.220001,RO,COSTA MARQUES,PREFEITO,COLIGACAO,DEM,UM NOME NOVO PARA UM TEMPO NOVO,DEM / PHS / PMN / PP / PR / PRB / PROS / PT / PTC,3
0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,213,11,,1,53228.125,-12.44,-64.220001,RO,COSTA MARQUES,PREFEITO,COLIGACAO,PSDB,A ESPERANÇA VENCERA A MENTIRA,PSDB / PSD / PSDC / PSB / PTB,3
