ano,estado,municipio,partido,prefeito,votacao
1996,AC,BRASILEIA,PMDB,ALDEMIR LOPES DA SILVA,0.41591
1996,AC,CRUZEIRO DO SUL,PMDB,ALUIZIO BEZERRA DE OLIVEIRA,1
1996,AC,SENA MADUREIRA,PFL,ANTONIA FRANCA DE OLIVEIRA,0.53554
1996,AC,JORDAO,PMDB,ESPERIDIAO MENEZES JUNIOR,0.36674
1996,AC,TARAUACA,PT,JASONE FERREIRA DA SILVA,0.47079
1996,AC,BUJARI,PMDB,JOAO EDVALDO TELES DE LIMA,0.40066
1996,AC,MANUEL URBANO,PT,JORGE ALMEIDA DA SILVA,0.3863
1996,AC,ASSIS BRASIL,PPB,JOSE MONTEIRO DA SILVA,0.36738
1996,AC,PORTO ACRE,PFL,JOSE RUY COELHO DE ALBUQUERQUE,0.28213
1996,AC,XAPURI,PT,JULIO BARBOSA DE AQUINO,0.32864
1996,AC,MARECHAL THAUMATURGO,PMDB,LEANDRO TAVARES DE ALMEIDA,0.5774
1996,AC,CAPIXABA,PPB,LOURIVAL MUSTAFA DE ANDRADE,0.44984
1996,AC,EPITACIOLANDIA,PPB,LUIZ BRANDAO HASSEM,0.46775
1996,AC,PLACIDO DE CASTRO,PFL,LUIZ PEREIRA DE LIMA,0.50828
1996,AC,SENADOR GUIOMARD,PMN,MANOEL GOMES SOCORRO DA SILVA,0.45149
1996,AC,SANTA ROSA,PPB,MANOEL LOPES DUARTE,0.5566
1996,AC,RIO BRANCO,PMDB,MAURI SERGIO MOURA DE OLIVEIRA,0.46799
1996,AC,ACRELANDIA,PFL,PAULO CEZAR FERREIRA DE ARAUJO,0.496
1996,AC,MANCIO LIMA,PMDB,PAULO LIMA DENE,0.52989
1996,AC,FEIJO,PPB,ROMILDO MAGALHAES DA SILVA,0.38785
1996,AC,RODRIGUES ALVES,PMDB,RUI MATOS SAID MAIA,0.51892
1996,AC,PORTO WALTER,PMDB,VANDERLEI MESSIAS SALES,0.66961
1996,AL,SATUBA,PSD,ADALBERON DE MORAIS BARROS,0.33145
1996,AL,MAJOR ISIDORO,PMN,ADOVALDO ALBUQERQUE ALVES,0.55949
1996,AL,PENEDO,PSDB,ALEXANDRE DE MELO TOLEDO,0.33316
1996,AL,FEIRA GRANDE,PSD,ALMIR LIRA SOBRINHO,0.34728
1996,AL,BELO MONTE,PMDB,ANTONIO AVANIO FEITOSA,0.57486
1996,AL,JOAQUIM GOMES,PFL,ANTONIO DE ARAUJO BARROS,0.43494
1996,AL,ESTRELA DE ALAGOAS,PST,ANTONIO GARROTE DA SILVA,0.60867
1996,AL,PALESTINA,PMDB,ANTONIO JOSE DA SILVA,0.56209
1996,AL,CANAPI,PMDB,BENEDITO CASADO DA ROCHA,0.56148
1996,AL,JUNDIA,PSD,BEROALDO RUFINO DA SILVA,0.39483
1996,AL,PILAR,PDT,CARLOS ALBERTO MOREIRA DE MENDONCA CANUTO,0.47561
1996,AL,ARAPIRACA,PSDB,CELIA MARIA BARBOSA ROCHA TERUEL,0.47831
1996,AL,PIRANHAS,PSD,CELSO RODRIGUES REGO,0.53303
1996,AL,MATRIZ DE CAMARAGIBE,PMDB,CICERO CAVALCANTE DE ARAUJO,0.5104
1996,AL,VICOSA,PPB,CICERO EZEQUIEL DA SILVA,0.51836
1996,AL,CAMPO GRANDE,PSB,CICERO FERREIRA NETO,0.51659
1996,AL,PASSO DE CAMARAGIBE,PSDB,CYRIDIAO DURVAL PEIXOTO,0.67362
1996,AL,SANTA LUZIA DO NORTE,PDT,DERALDO ROMAO DE LIMA,0.42722
1996,AL,CRAIBAS,PSD,EDIELSON BARBOSA LIMA,0.45194
1996,AL,SAO JOSE DA TAPERA,PSDB,EDNEUSA PEREIRA RICARDO,0.57133
1996,AL,PAULO JACINTO,PSD,ELMA SALES COSTA,0.61275
1996,AL,CAJUEIRO,PFL,FERNANDO RIBEIRO TOLEDO,0.55527
1996,AL,MARAGOGI,PSDB,FERNANDO SERGIO LIRA NETO,0.36853
1996,AL,BATALHA,PSB,FRANCISCO JOSE DE OLIVEIRA,0.52213
1996,AL,CARNEIROS,PMDB,GENIVALDO NOVAIS AGRA,0.51892
1996,AL,FELIZ DESERTO,PSDB,GERALDO ANTONIO MUNIZ SIMOES,0.57064
1996,AL,CAMPESTRE,PFL,GERVASIO DE OLIVEIRA LINS,0.51218
