ano	estado	municipio	partido	prefeito
1996	MA	SAO BERNARDO	PFL	ANTONIO BERNARDO ALVES RODRIGUES
1996	MA	RAPOSA	PTB	JOSE LACI DE OLIVEIRA
1996	AM	SANTO ANTONIO DO ICA	PMDB	ANTUNES BITAR RUAS
1996	MA	VITORIA DO MEARIM	PT do B	ANTONIO NORMANDO BEZERRA DE FARIAS
1996	MA	SANTA QUITERIA DO MARANHAO	PTB	OSMAR DE JESUS DA COSTA LEAL
1996	MA	BARRA DO CORDA	PFL	MANOEL MARIANO DE SOUSA
1996	MA	BACABEIRA	PSD	JOSE REINALDO DA SILVA CALVET
1996	MA	SANTA RITA	PT	OSVALDO MARINHO FERNANDES
1996	MA	ROSARIO	PMDB	LUCIANO CASTRO OLIVEIRA
1996	MA	SAO JOSE DE RIBAMAR	PSD	JOSE CAMARA FERREIRA
1996	MA	GUIMARAES	PPB	CELSO DA CONCEICAO COUTINHO
1996	MA	CODO	PPB	RICARDO ANTONIO ARCHER
1996	MA	PACO DO LUMIAR	PMDB	AMADEU DA CUNHA SANTOS AROSO NETO
1996	TO	GURUPI	PMDB	NANIO TADEU GONCALVES
2004	RO	MONTE NEGRO	PMDB	ALUISIO GONÄALVES DE SANTIAGO
2012	RO	PORTO VELHO	PSB	MAURO NAZIF RASUL
1996	SP	CAMPINAS	PSDB	CELIA CAMARGO LEAO EDELMUTH
2008	SP	SANTO ANDRê	PTB	AIDAN ANTONIO RAVIN
1996	PA	MAGALHAES BARATA	PFL	ZILDA CONCEICAO DE LIMA CORDOVIL MONTEIRO
2004	CE	HIDROLANDIA	PSDB	ANTONIO AFR?NIO MARTINS MESQUITA
2012	CE	FORTALEZA	PSB	ROBERTO CLAUDIO RODRIGUES BEZERRA
2000	AM	AUTAZES	PFL	JOSê THOMê FILHO
2004	AP	PORTO GRANDE	PP	JOSE MARIA BESSA DE OLIVEIRA
2012	AP	LARANJAL DO JARI	PP	MANOEL JOSE ALVES PEREIRA
2000	RO	CEREJEIRAS	PTB	JOSê EUG?NIO DE SOUZA
1996	GO	ARUANA	PTB	ADENESIO NUNES
2008	MA	CAJARI	PPS	JOEL DOURADO FRANCO
2008	SP	BIRITIBA MIRIM	PSDB	CARLOS ALBERTO TAINO JUNIOR
2004	MG	PRESIDENTE KUBITSCHEK	PMDB	LAURO DE OLIVEIRA
2012	MG	RAPOSOS	PSL	CARLOS ALBERTO COELHO DE AZEVEDO
1996	MS	GUIA LOPES DA LAGUNA	PMDB	ELIZEU DOS SANTOS
2004	RO	ESPIGAO D'OESTE	PTB	LUCIA TEREZA RODRIGUES DOS SANTOS
2012	RO	CANDEIAS DO JAMARI	PV	OSVALDO SOUSA
2004	AM	NOVO ARIPUANA	PL	GERAMILTON DE MENEZES WECKNER
2012	AM	TAPAU?	PSD	ALMINO GONCALVES DE ALBUQUERQUE
1996	TO	MOSQUITO	PSDB	SEBASTIAO ARAUJO LIMA
2000	AM	MANICORE	PMDB	MANOEL DE OLIVEIRA GALDINO
2004	RN	CAICO	PL	RIVALDO COSTA
2012	RJ	S?O GONÄALO	PR	NEILTON MULIM DA COSTA
2004	PR	LUPIONOPOLIS	PSL	JOSê CARLOS TIBêRIO
2012	PR	LONDRINA	PSD	ALEXANDRE LOPES KIREEFF
1996	RJ	PARACAMBI	PMDB	ROGERIO FERREIRA
